Dia;Mes;Año;Fecha;Usuario;Tipo de Transacción;Número Documento;Compresor;Rolitera;Hora Encendido Compresor;Hora Apago Compresor;Horas Funcionamiento;Descripcion;Cantidad;Horas Funcionamiento Corregidas;Kg por Bolsa;Kilos Producidos
4;1;2023;2023-01-04;rmanera;Alta Producción de Hielo;9;C02 - Compresor 2 - 127;R01 - Rolitera 1;31640,09;31643,05;2,959999999999127;ROLITO EN BOLSAS 14 KG;46;2,959999999999127;14;644
4;1;2023;2023-01-04;rmanera;Alta Producción de Hielo;10;C02 - Compresor 2 - 127;R01 - Rolitera 1;31643,5;31646,78;3,279999999998836;ROLITO EN BOLSAS 14 KG;48;3,279999999998836;14;672
5;1;2023;2023-01-05;rmanera;Alta Producción de Hielo;11;C02 - Compresor 2 - 127;R01 - Rolitera 1;31646,78;31649,99;3,210000000002765;ROLITO EN BOLSAS 2 KG;276;3,210000000002765;2;552
5;1;2023;2023-01-05;rmanera;Alta Producción de Hielo;12;C04 - Compresor 4 - 127;R01 - Rolitera 1;1294,85;1299,26;4,410000000000082;ROLITO EN BOLSAS 14 KG;63;4,410000000000082;14;882
5;1;2023;2023-01-05;rmanera;Alta Producción de Hielo;13;C02 - Compresor 2 - 127;R01 - Rolitera 1;31649,99;31653,8;3,8099999999976717;ROLITO EN BOLSAS 2 KG;320;3,8099999999976717;2;640
5;1;2023;2023-01-05;rmanera;Alta Producción de Hielo;14;C04 - Compresor 4 - 127;R02 - Rolitera 2;0,0;0,0;0,0;ROLITO EN BOLSAS 14 KG;53;0,0;14;742
5;1;2023;2023-01-05;rmanera;Alta Producción de Hielo;15;C04 - Compresor 4 - 127;R01 - Rolitera 1;1299,26;1303,11;3,849999999999909;ROLITO EN BOLSAS 2 KG;283;3,849999999999909;2;566
5;1;2023;2023-01-05;rmanera;Alta Producción de Hielo;16;C04 - Compresor 4 - 127;R02 - Rolitera 2;0,0;0,0;0,0;ROLITO EN BOLSAS 14 KG;56;0,0;14;784
6;1;2023;2023-01-06;rmanera;Alta Producción de Hielo;17;C02 - Compresor 2 - 127;R01 - Rolitera 1;31653,8;31655,98;2,180000000000291;ROLITO EN BOLSAS 14 KG;17;2,180000000000291;14;238
6;1;2023;2023-01-06;rmanera;Alta Producción de Hielo;17;C02 - Compresor 2 - 127;R01 - Rolitera 1;31653,8;31655,98;2,180000000000291;ROLITO EN BOLSAS 2 KG;61;2,180000000000291;2;122
6;1;2023;2023-01-06;rmanera;Alta Producción de Hielo;18;C02 - Compresor 2 - 127;R01 - Rolitera 1;31655,98;31660,65;4,670000000001892;ROLITO EN BOLSAS 2 KG;386;4,670000000001892;2;772
6;1;2023;2023-01-06;rmanera;Alta Producción de Hielo;19;C04 - Compresor 4 - 127;R01 - Rolitera 1;1303,11;1305,56;2,4500000000000455;ROLITO EN BOLSAS 2 KG;222;2,4500000000000455;2;444
6;1;2023;2023-01-06;rmanera;Alta Producción de Hielo;20;C04 - Compresor 4 - 127;R02 - Rolitera 2;0,0;0,0;0,0;ROLITO EN BOLSAS 14 KG;40;0,0;14;560
6;1;2023;2023-01-06;rmanera;Alta Producción de Hielo;21;C02 - Compresor 2 - 127;R01 - Rolitera 1;31661,67;31664,68;3,0100000000020373;ROLITO EN BOLSAS 2 KG;37;3,0100000000020373;2;74
7;1;2023;2023-01-07;rmanera;Alta Producción de Hielo;22;C02 - Compresor 2 - 127;R01 - Rolitera 1;31664,68;31667,66;2,9799999999995634;ROLITO EN BOLSAS 2 KG;217;2,9799999999995634;2;434
7;1;2023;2023-01-07;rmanera;Alta Producción de Hielo;22;C02 - Compresor 2 - 127;R01 - Rolitera 1;31664,68;31667,66;2,9799999999995634;ROLITO EN BOLSAS 7 KG;16;2,9799999999995634;7;112
7;1;2023;2023-01-07;rmanera;Alta Producción de Hielo;23;C04 - Compresor 4 - 127;R01 - Rolitera 1;1305,83;1310,62;4,789999999999964;ROLITO EN BOLSAS 14 KG;9;4,789999999999964;14;126
7;1;2023;2023-01-07;rmanera;Alta Producción de Hielo;23;C04 - Compresor 4 - 127;R01 - Rolitera 1;1305,83;1310,62;4,789999999999964;ROLITO EN BOLSAS 2 KG;340;4,789999999999964;2;680
6;1;2023;2023-01-06;rmanera;Alta Producción de Hielo;24;C04 - Compresor 4 - 127;R02 - Rolitera 2;0,0;0,0;0,0;ROLITO EN BOLSAS 14 KG;26;0,0;14;364
6;1;2023;2023-01-06;rmanera;Alta Producción de Hielo;24;C04 - Compresor 4 - 127;R02 - Rolitera 2;0,0;0,0;0,0;ROLITO EN BOLSAS 2 KG;349;0,0;2;698
7;1;2023;2023-01-07;rmanera;Alta Producción de Hielo;25;C02 - Compresor 2 - 127;R01 - Rolitera 1;31667,66;31670,5;2,8400000000001455;ROLITO EN BOLSAS 14 KG;9;2,8400000000001455;14;126
7;1;2023;2023-01-07;rmanera;Alta Producción de Hielo;25;C02 - Compresor 2 - 127;R01 - Rolitera 1;31667,66;31670,5;2,8400000000001455;ROLITO EN BOLSAS 2 KG;225;2,8400000000001455;2;450
7;1;2023;2023-01-07;rmanera;Alta Producción de Hielo;26;C04 - Compresor 4 - 127;R01 - Rolitera 1;1310,62;1311,39;0,7700000000002092;ROLITO EN BOLSAS 2 KG;57;0,7700000000002092;2;114
7;1;2023;2023-01-07;rmanera;Alta Producción de Hielo;27;C04 - Compresor 4 - 127;R02 - Rolitera 2;0,0;0,0;0,0;ROLITO EN BOLSAS 2 KG;71;0,0;2;142
9;1;2023;2023-01-09;rmanera;Alta Producción de Hielo;28;C02 - Compresor 2 - 127;R01 - Rolitera 1;31670,5;31678,2;7,700000000000728;ROLITO EN BOLSAS 2 KG;743;7,700000000000728;2;1486
9;1;2023;2023-01-09;rmanera;Alta Producción de Hielo;29;C04 - Compresor 4 - 127;R01 - Rolitera 1;1311,39;1320,94;9,549999999999955;ROLITO EN BOLSAS 14 KG;25;9,549999999999955;14;350
9;1;2023;2023-01-09;rmanera;Alta Producción de Hielo;29;C04 - Compresor 4 - 127;R01 - Rolitera 1;1311,39;1320,94;9,549999999999955;ROLITO EN BOLSAS 2 KG;641;9,549999999999955;2;1282
9;1;2023;2023-01-09;rmanera;Alta Producción de Hielo;29;C04 - Compresor 4 - 127;R01 - Rolitera 1;1311,39;1320,94;9,549999999999955;ROLITO EN BOLSAS 7 KG;17;9,549999999999955;7;119
9;1;2023;2023-01-09;rmanera;Alta Producción de Hielo;30;C04 - Compresor 4 - 127;R02 - Rolitera 2;0,0;0,0;0,0;ROLITO EN BOLSAS 14 KG;125;0,0;14;1750
9;1;2023;2023-01-09;rmanera;Alta Producción de Hielo;30;C04 - Compresor 4 - 127;R02 - Rolitera 2;0,0;0,0;0,0;ROLITO EN BOLSAS 2 KG;211;0,0;2;422
9;1;2023;2023-01-09;rmanera;Alta Producción de Hielo;31;C02 - Compresor 2 - 127;R01 - Rolitera 1;31678,2;31679,63;1,430000000000291;ROLITO EN BOLSAS 2 KG;121;1,430000000000291;2;242
9;1;2023;2023-01-09;rmanera;Alta Producción de Hielo;32;C02 - Compresor 2 - 127;R01 - Rolitera 1;31679,63;31681,82;2,1899999999986903;ROLITO EN BOLSAS 2 KG;158;2,1899999999986903;2;316
9;1;2023;2023-01-09;rmanera;Alta Producción de Hielo;33;C04 - Compresor 4 - 127;R01 - Rolitera 1;1320,4;1324,73;4,329999999999927;ROLITO EN BOLSAS 2 KG;385;4,329999999999927;2;770
9;1;2023;2023-01-09;rmanera;Alta Producción de Hielo;34;C04 - Compresor 4 - 127;R02 - Rolitera 2;0,0;0,0;0,0;ROLITO EN BOLSAS 14 KG;19;0,0;14;266
9;1;2023;2023-01-09;rmanera;Alta Producción de Hielo;34;C04 - Compresor 4 - 127;R02 - Rolitera 2;0,0;0,0;0,0;ROLITO EN BOLSAS 2 KG;267;0,0;2;534
10;1;2023;2023-01-10;rmanera;Alta Producción de Hielo;35;C02 - Compresor 2 - 127;R01 - Rolitera 1;31681,82;31689,99;8,170000000001892;ROLITO EN BOLSAS 14 KG;10;8,170000000001892;14;140
10;1;2023;2023-01-10;rmanera;Alta Producción de Hielo;35;C02 - Compresor 2 - 127;R01 - Rolitera 1;31681,82;31689,99;8,170000000001892;ROLITO EN BOLSAS 2 KG;585;8,170000000001892;2;1170
10;1;2023;2023-01-10;rmanera;Alta Producción de Hielo;36;C04 - Compresor 4 - 127;R01 - Rolitera 1;1324,73;1329,07;4,339999999999918;ROLITO EN BOLSAS 14 KG;10;4,339999999999918;14;140
10;1;2023;2023-01-10;rmanera;Alta Producción de Hielo;36;C04 - Compresor 4 - 127;R01 - Rolitera 1;1324,73;1329,07;4,339999999999918;ROLITO EN BOLSAS 2 KG;228;4,339999999999918;2;456
10;1;2023;2023-01-10;rmanera;Alta Producción de Hielo;36;C04 - Compresor 4 - 127;R01 - Rolitera 1;1324,73;1329,07;4,339999999999918;ROLITO EN BOLSAS 4 KG;33;4,339999999999918;4;132
10;1;2023;2023-01-10;rmanera;Alta Producción de Hielo;36;C04 - Compresor 4 - 127;R01 - Rolitera 1;1324,73;1329,07;4,339999999999918;ROLITO EN BOLSAS 7 KG;17;4,339999999999918;7;119
10;1;2023;2023-01-10;rmanera;Alta Producción de Hielo;37;C04 - Compresor 4 - 127;R02 - Rolitera 2;0,0;0,0;0,0;ROLITO EN BOLSAS 14 KG;67;0,0;14;938
10;1;2023;2023-01-10;rmanera;Alta Producción de Hielo;38;C02 - Compresor 2 - 127;R01 - Rolitera 1;31689,19;31692,35;3,1599999999998545;ROLITO EN BOLSAS 2 KG;239;3,1599999999998545;2;478
10;1;2023;2023-01-10;rmanera;Alta Producción de Hielo;38;C02 - Compresor 2 - 127;R01 - Rolitera 1;31689,19;31692,35;3,1599999999998545;ROLITO EN BOLSAS 7 KG;15;3,1599999999998545;7;105
10;1;2023;2023-01-10;rmanera;Alta Producción de Hielo;39;C02 - Compresor 2 - 127;R01 - Rolitera 1;31692,35;31694,46;2,110000000000582;ROLITO EN BOLSAS 2 KG;160;2,110000000000582;2;320
10;1;2023;2023-01-10;rmanera;Alta Producción de Hielo;40;C04 - Compresor 4 - 127;R01 - Rolitera 1;1329,07;1332,92;3,8500000000001364;ROLITO EN BOLSAS 2 KG;329;3,8500000000001364;2;658
10;1;2023;2023-01-10;rmanera;Alta Producción de Hielo;41;C04 - Compresor 4 - 127;R02 - Rolitera 2;0,0;0,0;0,0;ROLITO EN BOLSAS 14 KG;54;0,0;14;756
